,C.Sales,Location,Rep.Sales,Received Inventory,Inventory Stock,L.Sales,M.Sales,Actual
279,2,Lagos,6.9,2000,600.0,4.2,5.43312,16.464
280,0,Abuja,4.83,3000,1200.0,2.94,3.168,11.52
281,3,Abuja,4.83,2000,480.0,2.94,3.168,11.52
282,2,Abuja,8.97,5000,1320.0,5.46,5.808,21.12
283,2,Abuja,10.58,3000,960.0,6.44,6.897,25.08
284,0,Abuja,2.3,4000,600.0,1.4,1.485,5.4
285,0,Abuja,5.52,1000,240.0,3.36,3.663,13.32
286,2,Abuja,5.29,1000,240.0,3.22,3.4848,12.672
287,3,Abuja,5.75,1000,480.0,3.5,3.7125,13.5
288,3,Abuja,4.83,5000,840.0,2.94,3.135,11.4
289,2,Calabar,6.9,2000,600.0,4.2,4.5276,16.464
290,3,Abuja,9.2,5000,2800.0,3.68,8.2764,25.08
291,1,Abuja,2.0,5000,1750.0,0.8,1.782,5.4
292,1,Abuja,4.8,4000,700.0,1.92,4.3956,13.32
293,2,Abuja,4.6,1000,700.0,1.84,4.18176,12.672
294,3,Abuja,5.0,3000,1400.0,2.0,4.455,13.5
295,0,Abuja,4.2,7000,2450.0,1.68,3.762,11.4
296,1,Abuja,6.0,2000,1750.0,2.4,5.43312,16.464
297,1,Warri,4.2,6000,3500.0,1.68,3.8016,11.52
298,0,Warri,4.2,3000,1400.0,1.68,3.8016,11.52
299,2,Warri,7.8,8000,3850.0,3.12,6.9696,21.12
300,2,Lagos,4.62,5000,600.0,1.89,3.5904,13.824
301,0,Lagos,4.62,2000,240.0,1.89,3.5904,13.824
302,3,Lagos,8.58,6000,660.0,3.51,6.5824,25.344
303,3,Lagos,10.12,2000,480.0,4.14,7.8166,30.096
304,0,Lagos,2.2,4000,300.0,0.9,1.683,6.48
305,2,Lagos,5.28,2000,120.0,2.16,4.1514,15.984
306,3,Lagos,5.06,2000,120.0,2.07,3.94944,15.2064
307,1,Lagos,5.5,1000,240.0,2.25,4.2075,16.2
308,2,Lagos,4.62,3000,420.0,1.89,3.553,13.68
309,3,Lagos,6.6,2000,300.0,2.7,5.13128,19.7568
310,1,Lagos,4.83,6000,193.9990624,0.84,2.112,13.824
311,3,Lagos,4.83,3000,218.9873418,0.84,2.112,13.824
312,4,Lagos,8.97,8000,206.4932021,1.56,3.872,25.344
313,4,Lagos,10.58,5000,193.9990624,1.84,4.598,30.096
314,0,Lagos,2.3,5000,181.5049226,0.4,0.99,6.48
315,3,Lagos,5.52,4000,169.0107829,0.96,2.442,15.984
316,2,Lagos,5.29,1000,156.5166432,0.92,2.3232,15.2064
317,1,Lagos,5.75,3000,144.0225035,1.0,2.475,16.2
318,4,Lagos,4.83,7000,131.5283638,0.84,2.09,13.68
319,2,Lagos,6.9,2000,119.0342241,1.2,3.0184,19.7568
320,1,Kano,4.83,5000,1200.0,0.84,3.168,13.824
321,3,Kano,4.83,2000,480.0,0.84,3.168,13.824
322,4,Kano,8.97,6000,1320.0,1.56,5.808,25.344
323,4,Kano,10.58,2000,960.0,1.84,6.897,30.096
324,0,Kano,2.3,4000,600.0,0.4,1.485,6.48
325,3,Kano,5.52,2000,240.0,0.96,3.663,15.984
326,2,Kano,5.29,2000,240.0,0.92,3.4848,15.2064
327,1,Kano,5.75,1000,480.0,1.0,3.7125,16.2
328,4,Kano,4.83,3000,840.0,0.84,3.135,13.68
329,2,Kano,6.9,2000,600.0,1.2,4.5276,19.7568
330,5,Kano,4.2,4000,1400.0,1.05,4.224,13.824
331,4,Kano,4.2,1000,560.0,1.05,4.224,13.824
332,8,Kano,7.8,4000,1540.0,1.95,7.744,25.344
333,9,Kano,9.2,5000,1120.0,2.3,9.196,30.096
334,2,Kano,2.0,4000,700.0,0.5,1.98,6.48
335,5,Kano,4.8,1000,280.0,1.2,4.884,15.984
336,4,Kano,4.6,3000,280.0,1.15,4.6464,15.2064
337,5,Kano,5.0,4000,560.0,1.25,4.95,16.2
338,4,Kano,4.2,2000,980.0,1.05,4.18,13.68
339,6,Kano,6.0,2000,700.0,1.5,6.0368,19.7568
340,1,Lagos,4.2,4000,500.0,1.68,1.6896,13.824
341,3,Lagos,4.2,1000,200.0,1.68,1.6896,13.824
342,4,Lagos,7.8,4000,550.0,3.12,3.0976,25.344
343,7,Lagos,9.2,5000,400.0,3.68,3.6784,30.096
344,2,Lagos,2.0,4000,250.0,0.8,0.792,6.48
345,3,Lagos,4.8,1000,100.0,1.92,1.9536,15.984
346,2,Lagos,4.6,3000,100.0,1.84,1.85856,15.2064
347,2,Lagos,5.0,4000,200.0,2.0,1.98,16.2
348,3,Lagos,4.2,2000,350.0,1.68,1.672,13.68
349,3,Lagos,6.0,2000,250.0,2.4,2.41472,19.7568
350,3,Ilorin,8.58,4000,1100.0,4.68,6.9696,25.344
351,3,Ilorin,10.12,5000,800.0,5.52,8.2764,30.096
352,1,Ilorin,2.2,4000,500.0,1.2,1.782,6.48
353,2,Ilorin,5.28,1000,200.0,2.88,4.3956,15.984
354,1,Ilorin,5.06,3000,200.0,2.76,4.18176,15.2064
355,2,Ilorin,5.5,4000,400.0,3.0,4.455,16.2
356,1,Ilorin,4.62,2000,700.0,2.52,3.762,13.68
357,2,Ilorin,6.6,2000,500.0,3.6,5.43312,19.7568
358,2,Port Harcourt,4.62,4000,1000.0,2.52,3.8016,13.824
359,1,Port Harcourt,4.62,1000,400.0,2.52,3.8016,13.824
360,2,Kaduna,3.15,6000,3500.0,6.3,3.5904,13.824
361,0,Kaduna,3.15,3000,1400.0,6.3,3.5904,13.824
362,3,Kaduna,5.85,8000,3850.0,11.7,6.5824,25.344
363,3,Kaduna,6.9,5000,2800.0,13.8,7.8166,30.096
364,0,Kaduna,1.5,5000,1750.0,3.0,1.683,6.48
365,2,Kaduna,3.6,4000,700.0,7.2,4.1514,15.984
366,1,Kaduna,3.45,1000,700.0,6.9,3.94944,15.2064
367,2,Kaduna,3.75,3000,1400.0,7.5,4.2075,16.2
368,1,Kaduna,3.15,7000,2450.0,6.3,3.553,13.68
369,3,Kaduna,4.5,2000,1750.0,9.0,5.13128,19.7568
370,2,Port Harcourt,3.15,5000,600.0,6.3,2.5344,13.824
371,0,Port Harcourt,3.15,2000,240.0,6.3,2.5344,13.824
372,3,Port Harcourt,5.85,6000,660.0,11.7,4.6464,25.344
373,3,Port Harcourt,6.9,2000,480.0,13.8,5.5176,30.096
374,0,Port Harcourt,1.5,4000,300.0,3.0,1.188,6.48
375,2,Port Harcourt,3.6,2000,120.0,7.2,2.9304,15.984
376,1,Port Harcourt,3.45,2000,120.0,6.9,2.78784,15.2064
377,2,Port Harcourt,3.75,1000,240.0,7.5,2.97,16.2
378,1,Port Harcourt,3.15,3000,420.0,6.3,2.508,13.68
379,3,Port Harcourt,4.5,2000,300.0,9.0,3.62208,19.7568
380,1,Calabar,4.2,5000,600.0,0.84,4.224,13.824
381,2,Calabar,4.2,2000,240.0,0.84,4.224,13.824
382,2,Calabar,7.8,6000,660.0,1.56,7.744,25.344
383,2,Calabar,9.2,2000,480.0,1.84,9.196,30.096
384,1,Calabar,2.0,4000,300.0,0.4,1.98,6.48
385,1,Calabar,4.8,2000,120.0,0.96,4.884,15.984
386,2,Calabar,4.6,2000,120.0,0.92,4.6464,15.2064
387,1,Calabar,5.0,1000,240.0,1.0,4.95,16.2
388,0,Calabar,4.2,3000,420.0,0.84,4.18,13.68
389,3,Calabar,6.0,2000,300.0,1.2,6.0368,19.7568
390,1,Ibadan,4.2,6000,3500.0,0.84,2.5344,13.824
391,2,Ibadan,4.2,3000,1400.0,0.84,2.5344,13.824
392,2,Ibadan,7.8,8000,3850.0,1.56,4.6464,25.344
393,2,Ibadan,9.2,5000,2800.0,1.84,5.5176,30.096
394,1,Ibadan,2.0,5000,1750.0,0.4,1.188,6.48
395,1,Ibadan,4.8,4000,700.0,0.96,2.9304,15.984
396,2,Ibadan,4.6,1000,700.0,0.92,2.78784,15.2064
397,1,Ibadan,5.0,3000,1400.0,1.0,2.97,16.2
398,0,Ibadan,4.2,7000,2450.0,0.84,2.508,13.68
399,3,Ibadan,6.0,2000,1750.0,1.2,3.62208,19.7568
400,0,Ibadan,4.83,4000,1400.0,2.94,2.112,13.824
401,3,Ibadan,4.83,1000,560.0,2.94,2.112,13.824
402,2,Ibadan,8.97,4000,1540.0,5.46,3.872,25.344
403,2,Ibadan,10.58,5000,1120.0,6.44,4.598,30.096
404,0,Ibadan,2.3,4000,700.0,1.4,0.99,6.48
405,0,Ibadan,5.52,1000,280.0,3.36,2.442,15.984
406,2,Ibadan,5.29,3000,280.0,3.22,2.3232,15.2064
407,3,Ibadan,5.75,4000,560.0,3.5,2.475,16.2
408,3,Ibadan,4.83,2000,980.0,2.94,2.09,13.68
409,2,Ibadan,6.9,2000,700.0,4.2,3.0184,19.7568
410,1,Ibadan,4.2,5000,1200.0,1.68,1.6896,13.824
411,0,Ibadan,4.2,2000,480.0,1.68,1.6896,13.824
412,2,Ibadan,7.8,6000,1320.0,3.12,3.0976,25.344
413,3,Ibadan,9.2,2000,960.0,3.68,3.6784,30.096
414,1,Ibadan,2.0,4000,600.0,0.8,0.792,6.48
415,1,Ibadan,4.8,2000,240.0,1.92,1.9536,15.984
416,2,Ibadan,4.6,2000,240.0,1.84,1.85856,15.2064
417,3,Ibadan,5.0,1000,480.0,2.0,1.98,16.2
418,0,Ibadan,4.2,3000,840.0,1.68,1.672,13.68
419,1,Ibadan,6.0,2000,600.0,2.4,2.41472,19.7568
420,1,Ilorin,4.2,6000,600.0,1.68,3.168,13.824
421,0,Ilorin,4.2,3000,240.0,1.68,3.168,13.824
422,2,Ilorin,7.8,8000,660.0,3.12,5.808,25.344
423,3,Ilorin,9.2,5000,480.0,3.68,6.897,30.096
424,1,Ilorin,2.0,5000,300.0,0.8,1.485,6.48
425,1,Ilorin,4.8,4000,120.0,1.92,3.663,15.984
426,2,Ilorin,4.6,1000,120.0,1.84,3.4848,15.2064
427,3,Ilorin,5.0,3000,240.0,2.0,3.7125,16.2
428,0,Ilorin,4.2,7000,420.0,1.68,3.135,13.68
429,1,Ilorin,6.0,2000,300.0,2.4,4.5276,19.7568
430,2,Warri,4.62,5000,600.0,1.89,3.168,16.5888
431,0,Warri,4.62,2000,240.0,1.89,3.168,16.5888
432,3,Warri,8.58,6000,660.0,3.51,5.808,30.4128
433,3,Warri,10.12,2000,480.0,4.14,6.897,36.1152
434,0,Warri,2.2,4000,300.0,0.9,1.485,7.776
435,2,Warri,5.28,2000,120.0,2.16,3.663,19.1808
436,3,Warri,5.06,2000,120.0,2.07,3.4848,18.24768
437,1,Warri,5.5,1000,240.0,2.25,3.7125,19.44
438,2,Warri,4.62,3000,420.0,1.89,3.135,16.416
439,3,Warri,6.6,2000,300.0,2.7,4.5276,23.70816
440,5,Lagos,4.2,3000,106.5400844,1.05,2.5344,16.5888
441,4,Lagos,4.2,2000,94.04594468,1.05,2.5344,16.5888
442,8,Lagos,7.8,5000,81.55180497,1.95,4.6464,30.4128
443,9,Lagos,9.2,3000,69.05766526,2.3,5.5176,36.1152
444,2,Lagos,2.0,4000,56.56352555,0.5,1.188,7.776
445,5,Lagos,4.8,1000,44.06938584,1.2,2.9304,19.1808
446,4,Lagos,4.6,1000,31.57524613,1.15,2.78784,18.24768
447,5,Lagos,5.0,1000,19.08110642,1.25,2.97,19.44
448,4,Lagos,4.2,5000,6.586966714,1.05,2.508,16.416
449,6,Lagos,6.0,2000,200.0,1.5,3.62208,23.70816
450,1,Warri,4.2,4000,1000.0,1.68,4.224,16.5888
451,3,Warri,4.2,1000,400.0,1.68,4.224,16.5888
452,4,Warri,7.8,4000,1100.0,3.12,7.744,30.4128
453,7,Warri,9.2,5000,800.0,3.68,9.196,36.1152
454,2,Warri,2.0,4000,500.0,0.8,1.98,7.776
455,3,Warri,4.8,1000,200.0,1.92,4.884,19.1808
456,2,Warri,4.6,3000,200.0,1.84,4.6464,18.24768
457,2,Warri,5.0,4000,400.0,2.0,4.95,19.44
458,3,Warri,4.2,2000,700.0,1.68,4.18,16.416
459,3,Warri,6.0,2000,500.0,2.4,6.0368,23.70816
460,2,Kaduna,4.62,3000,1200.0,2.52,1.6896,16.5888
461,1,Kaduna,4.62,2000,480.0,2.52,1.6896,16.5888
462,3,Kaduna,8.58,5000,1320.0,4.68,3.0976,30.4128
463,3,Kaduna,10.12,3000,960.0,5.52,3.6784,36.1152
464,1,Kaduna,2.2,4000,600.0,1.2,0.792,7.776
465,2,Kaduna,5.28,1000,240.0,2.88,1.9536,19.1808
466,1,Kaduna,5.06,1000,240.0,2.76,1.85856,18.24768
467,2,Kaduna,5.5,1000,480.0,3.0,1.98,19.44
468,1,Kaduna,4.62,5000,840.0,2.52,1.672,16.416
469,2,Kaduna,6.6,2000,600.0,3.6,2.41472,23.70816
470,2,Kano,4.62,4000,1400.0,2.52,3.168,16.5888
471,1,Kano,4.62,1000,560.0,2.52,3.168,16.5888
472,3,Kano,8.58,4000,1540.0,4.68,5.808,30.4128
473,3,Kano,10.12,5000,1120.0,5.52,6.897,36.1152
474,1,Kano,2.2,4000,700.0,1.2,1.485,7.776
475,2,Kano,5.28,1000,280.0,2.88,3.663,19.1808
476,1,Kano,5.06,3000,280.0,2.76,3.4848,18.24768
477,2,Kano,5.5,4000,560.0,3.0,3.7125,19.44
478,1,Kano,4.62,2000,980.0,2.52,3.135,16.416
479,2,Kano,6.6,2000,700.0,3.6,4.5276,23.70816
480,2,Kano,3.15,5000,1200.0,6.3,3.8016,16.5888
481,0,Kano,3.15,2000,480.0,6.3,3.8016,16.5888
482,3,Kano,5.85,6000,1320.0,11.7,6.9696,30.4128
483,3,Kano,6.9,2000,960.0,13.8,8.2764,36.1152
484,0,Kano,1.5,4000,600.0,3.0,1.782,7.776
485,2,Kano,3.6,2000,240.0,7.2,4.3956,19.1808
486,1,Kano,3.45,2000,240.0,6.9,4.18176,18.24768
487,2,Kano,3.75,1000,480.0,7.5,4.455,19.44
488,1,Kano,3.15,3000,840.0,6.3,3.762,16.416
489,3,Kano,4.5,2000,600.0,9.0,5.43312,23.70816
490,6,Ibadan,3.15,3000,1200.0,1.26,3.8016,16.5888
491,5,Ibadan,3.15,2000,480.0,1.26,3.8016,16.5888
492,8,Ibadan,5.85,5000,1320.0,2.34,6.9696,30.4128
493,10,Ibadan,6.9,3000,960.0,2.76,8.2764,36.1152
494,3,Ibadan,1.5,4000,600.0,0.6,1.782,7.776
495,5,Warri,3.6,1000,240.0,1.44,4.3956,19.1808
496,4,Warri,3.45,1000,240.0,1.38,4.18176,18.24768
497,5,Warri,3.75,1000,480.0,1.5,4.455,19.44
498,3,Warri,3.15,5000,840.0,1.26,3.762,16.416
499,5,Warri,4.5,2000,600.0,1.8,5.43312,23.70816
500,6,Abeokuta,3.15,4000,1400.0,1.26,1.6896,16.5888
501,5,Abeokuta,3.15,1000,560.0,1.26,1.6896,16.5888
502,8,Abeokuta,5.85,4000,1540.0,2.34,3.0976,30.4128
503,10,Abeokuta,6.9,5000,1120.0,2.76,3.6784,36.1152
504,3,Abeokuta,1.5,4000,700.0,0.6,0.792,7.776
505,5,Abeokuta,3.6,1000,280.0,1.44,1.9536,19.1808
506,4,Abeokuta,3.45,3000,280.0,1.38,1.85856,18.24768
507,5,Abeokuta,3.75,4000,560.0,1.5,1.98,19.44
508,3,Abeokuta,3.15,2000,980.0,1.26,1.672,16.416
509,5,Abeokuta,4.5,2000,700.0,1.8,2.41472,23.70816
510,1,Abeokuta,5.0,1000,480.0,1.0,4.2075,19.44
511,0,Abeokuta,4.2,3000,840.0,0.84,3.553,16.416
512,3,Abeokuta,6.0,2000,600.0,1.2,5.13128,23.70816
513,1,Ilorin,4.2,5000,1200.0,0.84,3.5904,16.5888
514,2,Ilorin,4.2,2000,480.0,0.84,3.5904,16.5888
515,2,Ilorin,7.8,6000,1320.0,1.56,6.5824,30.4128
516,2,Ilorin,9.2,2000,960.0,1.84,7.8166,36.1152
517,1,Ilorin,2.0,4000,600.0,0.4,1.683,7.776
518,1,Ilorin,4.8,2000,240.0,0.96,4.1514,19.1808
519,2,Ilorin,4.6,2000,240.0,0.92,3.94944,18.24768
520,0,Kaduna,4.83,4000,1000.0,2.94,2.5344,16.5888
521,3,Kaduna,4.83,1000,400.0,2.94,2.5344,16.5888
522,2,Kaduna,8.97,4000,1100.0,5.46,4.6464,30.4128
523,2,Kaduna,10.58,5000,800.0,6.44,5.5176,36.1152
524,0,Kaduna,2.3,4000,500.0,1.4,1.188,7.776
525,0,Kaduna,5.52,1000,200.0,3.36,2.9304,19.1808
526,2,Kaduna,5.29,3000,200.0,3.22,2.78784,18.24768
527,3,Kaduna,5.75,4000,400.0,3.5,2.97,19.44
528,3,Kaduna,4.83,2000,700.0,2.94,2.508,16.416
529,2,Kaduna,6.9,2000,500.0,4.2,3.62208,23.70816
530,0,Ilorin,4.83,3000,500.0,2.94,4.224,16.5888
531,3,Ilorin,4.83,2000,200.0,2.94,4.224,16.5888
532,2,Ilorin,8.97,5000,550.0,5.46,7.744,30.4128
533,2,Ilorin,10.58,3000,400.0,6.44,9.196,36.1152
534,0,Ilorin,2.3,4000,250.0,1.4,1.98,7.776
535,0,Ilorin,5.52,1000,100.0,3.36,4.884,19.1808
536,2,Ilorin,5.29,1000,100.0,3.22,4.6464,18.24768
537,3,Ilorin,5.75,1000,200.0,3.5,4.95,19.44
538,3,Ilorin,4.83,5000,350.0,2.94,4.18,16.416
539,2,Ilorin,6.9,2000,250.0,4.2,6.0368,23.70816
540,1,Kaduna,4.2,5000,600.0,1.68,2.112,16.5888
541,0,Kaduna,4.2,2000,240.0,1.68,2.112,16.5888
542,2,Kaduna,7.8,6000,660.0,3.12,3.872,30.4128
543,3,Kaduna,9.2,2000,480.0,3.68,4.598,36.1152
544,1,Kaduna,2.0,4000,300.0,0.8,0.99,7.776
545,1,Kaduna,4.8,2000,120.0,1.92,2.442,19.1808
546,2,Kaduna,4.6,2000,120.0,1.84,2.3232,18.24768
547,3,Kaduna,5.0,1000,240.0,2.0,2.475,19.44
548,0,Kaduna,4.2,3000,420.0,1.68,2.09,16.416
549,1,Kaduna,6.0,2000,300.0,2.4,3.0184,23.70816
